channel,baseline_revenue,scenario_revenue,incremental_revenue,incremental_spend,marginal_roas
facebook_spend,49053.945096153846,49212.06414946367,158.119053309827,267.315125,0.5915080686505374
tiktok_spend,49053.945096153846,50396.12032625011,1342.1752300962617,140.52228846153847,9.551333420417649
instagram_spend,49053.945096153846,49697.123965754654,643.178869600808,123.31275480769233,5.215834084672367
snapchat_spend,49053.945096153846,49759.04732558123,705.1022294273862,94.1248701923077,7.491136274470106
